,BersaljuBesok,SuhuMin,SuhuMax,Suhu9am,Suhu3pm,Penguapan,SinarMatahari,Awan9am,Awan3pm,Kelembaban9am,Kelembaban3pm
3,0,7.3,24.5,15.3,23.2,8.4,10.4,1.0,7.0,25.0,17.0
4,0,5.9,20.3,12.4,18.1,3.6,12.6,2.0,6.0,55.0,48.0
5,0,14.4,21.8,16.7,21.1,3.2,4.4,7.0,7.0,63.0,52.0
6,0,7.7,18.7,11.3,18.3,5.6,9.7,1.0,1.0,69.0,31.0
8,0,18.4,35.3,23.7,34.9,10.0,12.5,0.0,0.0,44.0,18.0
9,0,13.7,29.1,23.7,28.3,9.0,13.1,0.0,1.0,41.0,36.0
11,0,-2.6,11.1,0.8,9.9,1.4,6.5,1.0,7.0,87.0,54.0
15,0,9.3,19.3,12.4,18.4,1.0,7.0,5.0,5.0,82.0,46.0
17,0,13.0,20.8,15.5,20.3,2.0,6.0,3.0,5.0,84.0,53.0
19,0,12.5,21.1,13.9,19.5,4.4,9.7,5.0,4.0,65.0,29.0
21,0,16.9,34.7,22.2,32.6,11.4,12.5,0.0,0.0,39.0,12.0
23,0,10.9,17.9,14.3,15.3,3.8,4.5,6.0,7.0,61.0,59.0
24,1,11.7,17.6,12.3,14.7,2.2,5.7,8.0,6.0,95.0,82.0
25,1,4.1,14.7,8.8,13.9,2.6,7.6,1.0,3.0,61.0,47.0
29,0,16.9,25.5,18.1,23.1,6.4,10.1,7.0,1.0,71.0,57.0
39,0,13.7,35.6,21.2,35.0,4.8,12.6,0.0,1.0,82.0,24.0
40,0,10.8,19.7,15.1,18.1,0.8,3.6,6.0,7.0,99.0,73.0
42,0,20.8,28.8,22.5,27.2,7.0,7.7,5.0,2.0,82.0,57.0
45,0,13.7,32.1,23.3,30.3,7.6,10.3,2.0,6.0,36.0,21.0
46,0,8.1,28.8,13.7,28.0,6.6,10.9,1.0,1.0,49.0,21.0
47,0,21.9,29.3,25.6,27.6,3.0,8.3,6.0,5.0,71.0,75.0
49,0,15.1,39.2,28.6,36.7,11.6,13.2,0.0,1.0,28.0,19.0
50,0,7.3,15.2,12.4,13.9,2.2,9.6,5.0,4.0,66.0,52.0
52,1,13.2,22.2,16.1,21.4,3.4,6.8,7.0,6.0,90.0,58.0
54,0,2.7,16.0,9.1,14.9,1.2,5.4,4.0,5.0,83.0,46.0
55,0,5.0,21.0,13.0,20.5,7.4,10.8,0.0,0.0,48.0,23.0
59,1,6.5,14.9,10.4,13.5,2.4,3.8,7.0,7.0,72.0,64.0
66,0,16.9,29.6,22.1,28.4,5.8,11.0,1.0,1.0,61.0,46.0
69,0,17.2,28.5,26.0,27.0,10.0,10.8,1.0,2.0,54.0,55.0
70,1,8.9,25.4,18.1,24.0,5.4,9.9,1.0,6.0,37.0,33.0
74,0,3.4,16.9,10.2,16.8,2.4,10.2,1.0,1.0,70.0,45.0
76,0,5.6,14.6,11.2,14.2,3.0,9.1,4.0,7.0,70.0,61.0
77,0,10.0,19.9,13.1,18.8,3.0,5.0,7.0,7.0,89.0,52.0
81,0,9.2,19.5,13.0,19.1,3.4,9.7,8.0,5.0,75.0,48.0
83,0,11.1,21.0,15.6,19.2,2.4,1.1,7.0,7.0,58.0,52.0
90,0,9.0,20.3,13.0,20.1,4.2,10.8,1.0,2.0,60.0,31.0
91,0,21.7,28.6,24.9,28.0,8.0,11.4,4.0,2.0,61.0,44.0
93,0,19.1,34.7,28.1,34.2,9.2,11.8,1.0,5.0,46.0,24.0
99,0,14.2,31.6,21.1,30.1,10.0,13.3,3.0,3.0,29.0,10.0
102,0,17.2,29.6,26.0,28.2,6.8,10.0,3.0,1.0,68.0,51.0
103,0,16.9,31.3,22.4,29.0,9.2,13.3,1.0,4.0,58.0,34.0
104,0,6.4,14.1,10.1,12.2,1.8,7.0,1.0,3.0,82.0,61.0
107,0,22.1,28.2,25.2,26.4,4.4,7.9,7.0,3.0,81.0,74.0
108,0,18.1,25.4,20.9,23.8,9.8,10.8,3.0,3.0,58.0,48.0
109,0,16.6,29.0,23.0,27.2,7.2,13.1,4.0,1.0,57.0,51.0
110,0,10.2,16.1,12.7,15.2,0.4,0.5,8.0,7.0,96.0,75.0
112,1,7.1,16.5,12.7,15.7,0.6,3.8,8.0,8.0,82.0,70.0
115,0,25.3,32.7,29.5,31.9,5.8,10.8,5.0,4.0,76.0,59.0
116,1,11.8,18.8,16.0,13.2,4.4,0.0,8.0,8.0,83.0,92.0
117,1,12.2,19.8,16.7,16.9,2.8,8.8,1.0,7.0,56.0,67.0
